ch1 ch2 ch3 ch4 ch5 ch6 ch7 ch8
23816.4 3044.5 36405.2 38381.3 12275.8 3836.4 30915.0 52702.4   
23826.2 3136.1 36416.8 38203.6 12300.9 3933.6 30938.8 51855.9   
23901.5 3278.9 36493.5 38981.8 12390.6 3784.9 31026.0 52820.9   
23947.1 3345.3 36542.1 39764.0 12437.8 3511.1 31072.9 54467.4   
23890.4 3201.4 36481.6 39414.6 12358.4 3514.9 30997.9 54464.4   
23812.9 3053.4 36401.9 38383.7 12272.6 3824.3 30912.3 52752.6   
23822.1 3133.6 36415.2 38153.4 12297.7 3936.9 30934.7 51827.0   
23898.8 3273.8 36492.9 38937.2 12386.5 3794.9 31022.7 52747.7   
23946.0 3348.0 36543.7 39791.2 12433.8 3515.4 31070.0 54442.8   
23890.9 3210.3 36484.6 39465.9 12355.5 3500.3 30995.5 54523.0   
23804.8 3058.3 36398.2 38388.1 12261.5 3812.1 30902.3 52806.3   
23813.5 3132.5 36410.6 38110.5 12286.1 3939.3 30925.8 51800.0   
23892.6 3274.3 36490.8 38898.1 12380.6 3802.7 31018.7 52671.1   
23944.7 3353.9 36544.5 39790.4 12434.0 3518.6 31074.0 54407.7   
23886.6 3226.5 36481.9 39511.5 12354.1 3488.7 30997.6 54575.4   
23804.6 3065.0 36396.8 38422.1 12261.8 3798.4 30905.6 52860.1   
23807.5 3132.3 36405.7 38092.9 12280.7 3942.8 30921.5 51773.9   
23887.7 3274.0 36485.9 38861.6 12376.5 3815.4 31016.5 52589.0   
23943.1 3360.7 36543.1 39799.4 12435.1 3529.7 31075.4 54359.6   
23889.1 3236.5 36485.1 39569.9 12360.1 3483.3 31004.4 54620.7   
23801.6 3065.9 36397.6 38454.8 12259.1 3791.1 30903.4 52915.7   
23802.1 3125.5 36403.3 38062.4 12272.3 3949.6 30913.9 51753.3   
23883.1 3270.2 36482.9 38803.3 12369.2 3829.4 31009.2 52510.1   
23944.7 3363.1 36543.4 39785.0 12434.3 3540.8 31075.1 54312.7   
23894.5 3247.0 36487.8 39612.2 12363.3 3476.5 31008.2 54667.4   
23806.7 3071.0 36398.2 38475.8 12262.0 3780.8 30909.9 52976.7   
23801.3 3123.6 36399.0 38029.5 12270.2 3952.3 30914.5 51737.1   
23876.4 3270.8 36475.4 38747.7 12359.5 3839.1 31001.1 52435.4   
23939.3 3367.4 36540.2 39745.9 12429.5 3551.0 31072.7 54261.9   
23899.6 3251.3 36496.2 39621.4 12367.9 3471.9 31014.4 54708.5   
23808.3 3071.0 36401.7 38507.1 12259.1 3770.3 30907.4 53043.4   
23800.5 3116.3 36398.2 38025.7 12265.3 3954.4 30910.7 51734.7   
23872.9 3264.0 36469.7 38693.4 12355.5 3849.9 30998.2 52366.0   
23932.5 3372.3 36531.3 39701.9 12421.3 3561.0 31064.3 54206.3   
23892.3 3271.9 36487.5 39636.3 12362.2 3462.5 31010.3 54747.9   
23799.4 3086.4 36393.6 38548.4 12253.4 3755.4 30903.9 53116.8   
23775.9 3129.6 36375.5 38042.2 12239.4 3954.1 30887.5 51741.4   
23842.6 3284.6 36444.1 38719.6 12323.3 3855.3 30968.5 52306.3   
23904.2 3396.3 36513.2 39784.8 12393.8 3563.7 31038.1 54149.9   
23867.5 3300.8 36473.2 39808.0 12337.9 3449.0 30984.9 54779.2   
23782.7 3106.4 36384.1 38779.0 12234.2 3737.9 30883.4 53192.7   
23767.8 3132.5 36373.3 38220.4 12230.5 3954.4 30878.0 51753.6   
23844.8 3274.3 36451.4 38762.0 12323.1 3865.3 30969.3 52242.8   
23916.9 3380.7 36526.1 39730.5 12403.3 3574.3 31048.9 54081.5   
23887.7 3291.8 36493.7 39758.6 12355.5 3440.1 31005.4 54800.0   
23797.0 3097.4 36399.8 38695.9 12244.8 3719.5 30896.9 53266.4   
23777.3 3116.1 36383.6 38080.8 12236.4 3949.3 30886.4 51774.9   
23841.5 3264.6 36449.2 38612.4 12318.2 3871.3 30964.9 52187.2   
23916.6 3378.8 36526.1 39610.4 12404.1 3584.5 31052.7 54008.9   
23895.5 3296.4 36500.8 39703.0 12365.2 3436.6 31017.9 54804.6   
23801.3 3105.5 36402.5 38693.4 12250.2 3709.8 30905.8 53332.0   
23777.6 3116.1 36384.7 38064.9 12236.7 3953.1 30889.9 51798.7   
23844.5 3259.4 36452.2 38562.8 12319.8 3882.6 30970.6 52141.3   
23921.7 3373.4 36531.8 39553.4 12406.8 3594.5 31058.4 53937.4   
23901.5 3299.1 36509.7 39713.5 12369.5 3433.6 31023.8 54801.9   
23807.0 3107.4 36410.6 38753.9 12257.5 3700.4 30914.2 53399.5   
23778.9 3111.5 36386.0 38072.7 12238.3 3954.4 30892.9 51839.2   
